Channel,Platform,Hours Watched,Peak Viewers,Average Viewers,Airtime Hours
"Typical Gamer","ytg","12680671.983333332","296335","42290.63","506.4"
"LCK","ytg","8255609.9","392120","69046.08","239.13333333333333"
"Megadragom GamePlay","ytg","6647634.566666666","224186","50477.36","221.45"
"KreekCraft","ytg","5891871.966666667","316641","49375.37","239.6"
"BLAST Premier","ytg","5387871.766666667","176947","32643.88","330.1"
"Dream","ytg","5386156.216666667","180931","43448.55","209.98333333333332"
"AlsoTom","ytg","4418083.566666666","28418","6292.64","2252.9666666666667"
"NODWIN Gaming","ytg","4319085.416666667","215156","26658.28","324.03333333333336"
"IShowSpeed","ytg","4228690.616666666","212155","31223.26","173.3"
"MPL Indonesia","ytg","4213922.066666666","378618","34111.62","247.06666666666666"
"Liên Quân Mobile eSports-Garena","ytg","3992476.05","221215","35181.17","226.96666666666667"
"LCK Tiếng Việt","ytg","3754253.0166666666","257742","32754.86","229.23333333333332"
"Lucky Chamu","ytg","3537859.6","137537","20220.19","349.93333333333334"
"Gaules","ytg","3285222.033333333","113932","4740.13","1578.5833333333333"
"ElAbrahaham","ytg","3211399.433333333","132343","34042.08","175.26666666666668"
"CaylusBlox","ytg","3205428.6666666665","183463","50803.91","97.81666666666666"
"BAK","ytg","3182082.05","99181","16211.43","371.9166666666667"
"LoLzZz Gaming","ytg","3075619","65690","16916.05","363.6333333333333"
"Miko Ch. さくらみこ","ytg","2888515.25","143938","33576.28","164"
"BaianoTV","ytg","2857677.7333333334","73331","8831.61","646.65"
"Kuzuha Channel","ytg","2796872.2666666666","46926","19011.5","330.7"
"葉山舞鈴 / Ohayama Ch.","ytg","2655623.7333333334","56507","13201.23","440.2"
"LCK Global","ytg","2616785.6","123792","22857.35","228.96666666666667"
"Pekora Ch. 兎田ぺこら","ytg","2613389.933333333","289501","24243.95","201.68333333333334"
"Dansg08","ytg","2549517.9833333334","53780","3567.09","714.7333333333333"
"Windah Basudara","ytg","2520551.3","79081","31032.45","242.1"
"YoSoyRick","ytg","2358332.283333333","40312","12856.45","328.1166666666667"
"TheBurntPeanut","ytg","2354767.2333333334","58606","11257.31","581.0333333333333"
"Nick Eh 30","ytg","2245590.65","131184","19139.28","250"
"Koyori ch. 博衣こより - holoX -","ytg","2227216","83551","11300.51","431.98333333333335"
"Esports World Cup","ytg","2175587.6166666667","64589","11006.73","761.7833333333333"
"Capcom Fighters JP","ytg","1929982.25","132615","40249.89","95.9"
"Irmãos Villa","ytg","1917992.05","10928","3573.01","536.8"
"夜見れな/yorumi rena【にじさんじ所属】","ytg","1861149.55","62808","11196.37","333.1666666666667"
"かずのこチャンネル","ytg","1842613.4666666666","36098","7701.87","603.8"
"Subaru Ch. 大空スバル","ytg","1793000.4666666666","80515","21773.09","161.11666666666667"
"Maicoblox","ytg","1753942.25","21304","6635.76","264.31666666666666"
"Korone Ch. 戌神ころね","ytg","1732445.8833333333","39320","21983.66","157.21666666666667"
"donk","ytg","1692088.35","13846","5315.22","373.3333333333333"
"VALORANT Champions Tour Americas","ytg","1686425.4166666667","61117","16999.14","196.5"
"Jynxzi","ytg","1669777.4","47194","22696.71","149.73333333333332"
"set1awanade","ytg","1660225.35","118640","17993.92","185.75"
"DEANKT","ytg","1657151.6166666667","31659","15381.14","150.41666666666666"
"O Markola","ytg","1642510.3","45674","17752.89","122.05"
"TimTheTatman","ytg","1578101.4","25608","12590.92","289.35"
"Em Chè ĐTCL","ytg","1555782","38355","12540.45","172.88333333333333"
"Garena Liên Quân Mobile","ytg","1532630.75","77081","13461.84","227.7"
"Rallied","ytg","1517977.4833333334","50493","8610.81","321.8333333333333"
"CEROL","ytg","1467833.3833333333","41984","17245.9","138.03333333333333"
"ちろる","ytg","1419063.3666666667","63628","11684.34","121.45"
"Content Creator League","ytg","1414794.5","268696","58462.58","24.2"
"BobbyPoffGaming","ytg","1328703.7333333334","29500","3925.49","673.2166666666667"
"SAMU Juega","ytg","1313380.3","30460","10683.7","214.55"
"Garena RoV Thailand","ytg","1294531.85","93967","17847.41","145.06666666666666"
"GoldenRoblox","ytg","1290403.6666666667","74822","3502.98","479.6333333333333"
"Apelapato999","ytg","1289960.5833333333","27871","11270.85","204.86666666666667"
"탱커킹","ytg","1269356.75","9737","4636.68","340.45"
"DrDisRespect","ytg","1220170.0833333333","19928","12376.42","201.75"
"Budiono Wong","ytg","1208496.5","21167","6337.71","381.3666666666667"
"Can Alagöz","ytg","1196343.7166666666","7635","1853.74","645.3666666666667"
